CANDIDATE_ID,TAG
e4eb5530-e208-4e91-a9cc-59433bd52afe,Cal Career Fair 2018
e4eb5530-e208-4e91-a9cc-59433bd52afe,OCI
8961b0ac-b2b4-44e2-9621-de0b7cdbefe9,Brown
e47b4580-2057-42d1-8118-2e93f804522a,University of Oregon
f5d89c1b-6917-4b71-a104-0f698e8ce5e6,Waterloo
9beb1d43-328c-43f8-b53c-b745eb3c59bc,CMU
ee9d02b7-8a23-4568-ab94-d1e447378382,UC Berkeley
db220d8a-8316-4da9-a6cd-e24e2376a21b,Cornell
ef2ee100-9d96-402a-b965-f6c0d8d284b2,Virginia Tech
d3b584e8-aee6-4aef-b45e-151464a4b008,Duke University
f76c2369-5806-4d56-8366-5e655e1ebb7e,Grace Hopper 2018
cba1b6cb-2e1b-4ebf-930b-f694d662185a,Harvey Mudd
88b1a1d2-2ff3-43d6-a3c1-dd00878e949e,Rice University
39a98361-044e-4195-98da-ba881956e7fa,UPenn
2b750d90-9474-454c-9571-de5aa92a8599,UC Berkeley
aecce8ca-a85f-4f88-8dad-eb9d5947c511,Rutgers
0adf5341-4b68-4981-a072-34dc3ac81960,Stanford
182be8c7-bbde-4f3a-9c25-d51f60e13831,Northeastern
76849cfa-508e-4c7e-9baa-c2a1e4b52920,Boston University
cb12abfa-6164-4616-9522-55ee7d218292,UT Dallas
934fc9d8-5cd6-4b66-a09e-41504f2f106d,Georgia Tech
668f8963-a229-42d9-a156-321cb3e33809,Dartmouth
498479ed-a15d-4533-870f-372380bda9ea,Purdue
b11c3df0-401c-44e9-a0f2-d50c8203b02e,Cornell
12c246c1-1a02-480f-9243-d7b66c4be249,UC Irvine
b4305483-1047-4167-b0bb-53affb874ac8,UC Berkeley
fa8fc98d-70ee-410f-bc58-76d83db360dc,University of Michigan
a3dd9482-0c40-44d0-bf0a-b9384268dbd5,Waterloo
8d506c4a-c9eb-4fc0-ab3d-c7bbce8cf159,Rice University
2692b3bd-8669-4982-9af7-63951dd4dfb0,UC Berkeley
78e43ee9-2685-45bf-80f9-b6f5b0f0af1b,Princeton
346f356b-1285-455a-90d5-d74fed5911c3,UIUC
fafd10fd-33ac-46ad-a648-10c5a48da3a7,Duke University
067e66f2-d658-4668-bbd5-384c7bc66153,"Unviersity of Maryland, College Park"
0e01a4b1-ba37-4f31-a0c0-3a473fafbe1a,University of Toronto
4877fe3e-358c-4f50-b0f1-92df00e434b5,UC Berkeley
3bb57573-f30d-4861-8800-0407836b739c,MIT
26c6f5e8-3564-4f55-9e42-25ac3951e21e,UW
89269864-184b-41a2-b05b-2ee7ec60a2df,UIUC
82c843a4-de07-42c7-826c-10345ee097c8,"Unviersity of Maryland, College Park"
ff20d7a0-d40a-4585-a0e3-7bb070105f78,Rice University
0f292226-2772-4702-bf21-73174cc9f5d5,Stanford
0f292226-2772-4702-bf21-73174cc9f5d5,Stanford Career Fair 2018
0f292226-2772-4702-bf21-73174cc9f5d5,OCI
428c1c00-17be-42cb-835f-b5b7035dddf8,Stanford
428c1c00-17be-42cb-835f-b5b7035dddf8,Stanford Career Fair 2018
428c1c00-17be-42cb-835f-b5b7035dddf8,OCI
45c799bf-6b87-4d9e-91f0-7e076061e6ba,Stanford
824d259a-bcea-4ced-9247-be94b5d69fac,MIT
57b1afc5-7d5b-44db-9271-eec97dac7b49,MIT
57b1afc5-7d5b-44db-9271-eec97dac7b49,MIT Career Fair
c28edf10-acbe-4002-a87d-9bedb8f17e6d,UC Berkeley
3c0ed188-43ee-4b69-b4b1-5ab7ed878e42,UCLA
a405a1c8-e9ef-4e14-8802-e4188868ce6b,Dartmouth
a3b4e5bb-eb43-4047-9f22-d9522ae8d87d,Vanderbilt
127a2033-99c0-4be7-a107-808766d08944,Princeton
4013287b-5ed2-4faf-aa2a-b806ad0c9138,MIT
4013287b-5ed2-4faf-aa2a-b806ad0c9138,MIT Career Fair
19f9f00b-1cd2-4863-8ccb-838e6317d83a,MIT
77b45c5b-1698-43e1-8925-4ac2e6c81895,Harvard
77b45c5b-1698-43e1-8925-4ac2e6c81895,Harvard Career Fair 2018
e62118a9-69ab-4496-a50a-197df16521a5,UCLA
8de5bb29-86b0-4153-ae46-0f55f070b0cd,Rice University
56932a92-e3bf-4542-8736-5b584b576b88,UT Austin
98e63bd6-8532-4f0b-9795-16d8bb5fc443,MIT
98e63bd6-8532-4f0b-9795-16d8bb5fc443,MIT Career Fair
a6ca6782-0306-42c4-b43e-8a1ffa310c51,UC Berkeley
a6ca6782-0306-42c4-b43e-8a1ffa310c51,Cal Career Fair 2018
a6ca6782-0306-42c4-b43e-8a1ffa310c51,OCI
8e2f5607-8cb1-4754-bef1-2ac78871c56d,Yale
577af2d8-8b57-4cdc-985d-31ff2341cb3f,Georgia Tech
dd52ad5c-7282-4785-896e-4dd5031d0521,UC Berkeley
dd52ad5c-7282-4785-896e-4dd5031d0521,Cal Career Fair 2018
dd52ad5c-7282-4785-896e-4dd5031d0521,OCI
66804972-56e8-434c-93d5-1fe2f53e314a,Harvard
8c701264-aaf4-4d0f-be77-7ae51b6e9162,USC
5da17308-5651-43ba-955c-5a50c6ab917b,Grace Hopper 2018
5da17308-5651-43ba-955c-5a50c6ab917b,Dartmouth
c3b063d8-bf06-4aca-97d9-2ecc7ee690f2,Yale
c16eba9a-15df-4a60-b55f-61e2f4ee8985,USC
157c198c-20e7-44ca-ace4-2512c565f84f,UC Berkeley
157c198c-20e7-44ca-ace4-2512c565f84f,Cal Career Fair 2018
157c198c-20e7-44ca-ace4-2512c565f84f,OCI
6cc8cc00-4cad-410c-abfd-27c2e1e464db,UC Berkeley
6cc8cc00-4cad-410c-abfd-27c2e1e464db,OCI
b88583a4-94f5-489c-b422-8d2c0d853e6a,Harvard
b88583a4-94f5-489c-b422-8d2c0d853e6a,Harvard Career Fair 2018
b88583a4-94f5-489c-b422-8d2c0d853e6a,OCI
9433daf4-3508-4d7f-982d-e4825c5dee23,CMU
54dd88bc-fed1-47bb-a887-ef21aee01617,UC Berkeley
af2beef8-a926-43fb-b691-7ca91dc15c9c,UC Berkeley
af2beef8-a926-43fb-b691-7ca91dc15c9c,Cal Career Fair 2018
af2beef8-a926-43fb-b691-7ca91dc15c9c,OCI
6b72072d-86ff-4865-bdd4-f47d1b32023d,MIT
6b72072d-86ff-4865-bdd4-f47d1b32023d,OCI
6025fa68-93f1-435f-8007-89680669191f,Grace Hopper 2018
6025fa68-93f1-435f-8007-89680669191f,CalTech
a99c3caa-9605-43cd-a7e3-7b76804b68d6,UC Berkeley
a99c3caa-9605-43cd-a7e3-7b76804b68d6,Cal Career Fair 2018
a99c3caa-9605-43cd-a7e3-7b76804b68d6,OCI
caf326a4-b6ed-4dcb-a08a-e6daefe829f1,MIT
5489d0a0-605c-4917-9985-96a9ffe5061d,MIT
83cfa7d6-4584-41ee-8c8a-177b7a8b357a,Rice University
15c6869b-953d-49fa-85ff-f4676edbe8e3,Harvey Mudd
420a25f1-e9c7-4c3b-944d-0a8c58d91ac2,MIT
b723fdbc-e5af-4c3d-a001-b883ad4b4714,MIT
